Predicting gender 39 2 False relu 10 False 200 False 272 ConnType.STRUCT ConvStrategy.ENTIRE mean 8
Going for ./pytorch_data/hcp_4split_gender_struct_272_10_roi_norm_False
For  {'dropout': 0, 'lr': 0.005, 'weight_decay': 0.05}
2-0-Epoch: 038, Loss: 0.6898476 / 0.6897997, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
For  {'dropout': 0, 'lr': 0.005, 'weight_decay': 0.5}
2-0-Epoch: 001, Loss: 0.6913655 / 0.6912331, Auc: 0.4869 / 0.5256, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 002, Loss: 0.6913090 / 0.6912737, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 003, Loss: 0.6911579 / 0.6910901, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 004, Loss: 0.6912379 / 0.6913388, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 005, Loss: 0.6914261 / 0.6912751, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 006, Loss: 0.6913865 / 0.6914106, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 007, Loss: 0.6912824 / 0.6910414, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 008, Loss: 0.6912060 / 0.6913531, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 009, Loss: 0.6915153 / 0.6914744, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 010, Loss: 0.6913370 / 0.6911826, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 011, Loss: 0.6911839 / 0.6912463, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 012, Loss: 0.6912295 / 0.6911572, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 013, Loss: 0.6913037 / 0.6913880, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 014, Loss: 0.6913533 / 0.6913318, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 015, Loss: 0.6912839 / 0.6912096, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 016, Loss: 0.6913782 / 0.6913902, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 017, Loss: 0.6914695 / 0.6913437, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 018, Loss: 0.6911897 / 0.6910804, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 019, Loss: 0.6911568 / 0.6912348, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 020, Loss: 0.6915119 / 0.6914014, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 021, Loss: 0.6913529 / 0.6912828, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 022, Loss: 0.6912661 / 0.6911825, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 023, Loss: 0.6911552 / 0.6911242, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 024, Loss: 0.6913607 / 0.6915428, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 025, Loss: 0.6914253 / 0.6912964, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 026, Loss: 0.6911864 / 0.6911034, Auc: 0.5000 / 0.5000, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
