Subjects,fs_l_bankssts_myel,fs_l_caudalanteriorcingulate_myel,fs_l_caudalmiddlefrontal_myel,fs_l_cuneus_myel,fs_l_entorhinal_myel,fs_l_fusiform_myel,fs_l_inferiorparietal_myel,fs_l_inferiortemporal_myel,fs_l_isthmuscingulate_myel,fs_l_lateraloccipital_myel,fs_l_lateralorbitofrontal_myel,fs_l_lingual_myel,fs_l_medialorbitofrontal_myel,fs_l_middletemporal_myel,fs_l_parahippocampal_myel,fs_l_paracentral_myel,fs_l_parsopercularis_myel,fs_l_parsorbitalis_myel,fs_l_parstriangularis_myel,fs_l_pericalcarine_myel,fs_l_postcentral_myel,fs_l_posteriorcingulate_myel,fs_l_precentral_myel,fs_l_precuneus_myel,fs_l_rostralanteriorcingulate_myel,fs_l_rostralmiddlefrontal_myel,fs_l_superiorfrontal_myel,fs_l_superiorparietal_myel,fs_l_superiortemporal_myel,fs_l_supramarginal_myel,fs_l_frontalpole_myel,fs_l_temporalpole_myel,fs_l_transversetemporal_myel,fs_l_insula_myel,fs_r_bankssts_myel,fs_r_caudalanteriorcingulate_myel,fs_r_caudalmiddlefrontal_myel,fs_r_cuneus_myel,fs_r_entorhinal_myel,fs_r_fusiform_myel,fs_r_inferiorparietal_myel,fs_r_inferiortemporal_myel,fs_r_isthmuscingulate_myel,fs_r_lateraloccipital_myel,fs_r_lateralorbitofrontal_myel,fs_r_lingual_myel,fs_r_medialorbitofrontal_myel,fs_r_middletemporal_myel,fs_r_parahippocampal_myel,fs_r_paracentral_myel,fs_r_parsopercularis_myel,fs_r_parsorbitalis_myel,fs_r_parstriangularis_myel,fs_r_pericalcarine_myel,fs_r_postcentral_myel,fs_r_posteriorcingulate_myel,fs_r_precentral_myel,fs_r_precuneus_myel,fs_r_rostralanteriorcingulate_myel,fs_r_rostralmiddlefrontal_myel,fs_r_superiorfrontal_myel,fs_r_superiorparietal_myel,fs_r_superiortemporal_myel,fs_r_supramarginal_myel,fs_r_frontalpole_myel,fs_r_temporalpole_myel,fs_r_transversetemporal_myel,fs_r_insula_myel
792564,1.3486,0.8225,1.3052,1.5108,1.1765,1.2976,1.3097,1.2131,1.2356,1.4661,1.2353,1.4779,1.1715,1.2304,1.4204,1.431,1.2681,1.2267,1.2898,1.5406,1.4294,1.1089,1.4565,1.3392,0.8908,1.2238,1.2347,1.3583,1.3143,1.2872,1.194,1.0294,1.6655,1.2376,1.4486,1.2823,1.2382,1.3176,1.0881,1.3206,1.4122,1.3913,1.3271,1.4452,1.2503,1.2816,1.2268,1.5015,1.1686,1.4177,1.0989,1.1912,1.1838,1.4153,1.3743,1.2984,1.2853,1.3003,1.2061,1.2034,1.3307,1.3372,0.2678,1.2208,1.2497,0.7884,0,0.3339
792766,1.3368,0.8291,1.2939,1.5344,1.2341,1.2979,1.3084,1.211,1.1869,1.4659,1.2417,1.4705,1.1758,1.2149,1.4045,1.4658,1.2709,1.1854,1.2926,1.546,1.4445,1.0995,1.452,1.3296,0.8999,1.2307,1.2236,1.357,1.315,1.2743,1.1571,1.0732,1.8271,1.2076,1.4936,1.2823,1.2324,1.3003,1.083,1.3253,1.4038,1.3913,1.3122,1.4472,1.2776,1.27,1.2221,1.4764,1.171,1.432,1.0938,1.1493,1.192,1.4327,1.3826,1.2895,1.285,1.2958,1.1984,1.2043,1.3366,1.3373,0.2534,1.2095,1.2285,0.7696,0,0.3538
792867,1.334,0.7975,1.2963,1.5146,1.1161,1.2963,1.306,1.2134,1.2114,1.4611,1.2481,1.4765,1.1699,1.2369,1.4169,1.449,1.2732,1.1934,1.3003,1.5467,1.4312,1.0887,1.4541,1.3239,0.885,1.2266,1.2346,1.3581,1.3113,1.2801,1.1373,1.0658,1.6575,1.2162,1.4781,1.2971,1.2322,1.2988,1.0566,1.3239,1.4094,1.3895,1.3117,1.4517,1.2448,1.2743,1.2122,1.4693,1.184,1.4156,1.0989,1.1925,1.1717,1.389,1.3859,1.3072,1.2963,1.3016,1.1792,1.2049,1.3326,1.3355,0.2667,1.2123,1.2698,0.7996,0,0.3297
793465,1.3287,0.8242,1.3041,1.5132,1.2003,1.292,1.3078,1.2169,1.1943,1.4604,1.2402,1.4892,1.1453,1.2434,1.4078,1.4352,1.274,1.223,1.2789,1.5845,1.4359,1.1057,1.4484,1.3234,0.9164,1.227,1.2393,1.3563,1.3105,1.2826,1.1315,1.0266,1.653,1.2356,1.4406,1.3041,1.2335,1.3277,1.0599,1.3241,1.4014,1.39,1.3365,1.45,1.2516,1.2698,1.2516,1.5233,1.1847,1.4043,1.1065,1.1851,1.1861,1.3875,1.3861,1.3075,1.2875,1.305,1.1988,1.2029,1.3322,1.3377,0.2616,1.2087,1.2301,0.719,0,0.3373
800941,1.3505,0.8337,1.3107,1.5005,1.1674,1.2943,1.3103,1.2164,1.2043,1.4598,1.2443,1.4723,1.1695,1.222,1.3985,1.4476,1.2609,1.1816,1.3008,1.5668,1.4386,1.1213,1.454,1.3285,0.911,1.2311,1.2226,1.364,1.3218,1.2837,1.1787,1.0419,1.6734,1.2279,1.4386,1.3019,1.228,1.3185,1.0924,1.3106,1.4085,1.3656,1.3131,1.4443,1.2519,1.2747,1.2365,1.5984,1.1765,1.4062,1.0984,1.1661,1.1981,1.3951,1.3835,1.3065,1.2905,1.3054,1.1984,1.2045,1.3292,1.3365,0.2492,1.2214,1.2266,0.6824,0,0.3409
802844,1.36,0.8333,1.3016,1.5273,1.1682,1.2788,1.3099,1.2117,1.2055,1.46,1.2389,1.4633,1.1559,1.2289,1.5349,1.4382,1.2552,1.1908,1.3,1.5548,1.441,1.1005,1.4565,1.3333,0.9046,1.2376,1.2355,1.3537,1.2987,1.2847,1.2043,1.0532,1.6636,1.2675,1.4604,1.307,1.237,1.3095,1.0588,1.32,1.4014,1.3937,1.3351,1.4567,1.252,1.2891,1.2246,1.5173,1.1708,1.4157,1.1083,1.1744,1.1737,1.3823,1.3797,1.2965,1.298,1.2981,1.1861,1.2094,1.3302,1.3438,0.2643,1.2117,1.2003,0.7489,0,0.3328
803240,1.3339,0.8012,1.2992,1.5055,1.1806,1.2942,1.3102,1.2176,1.2189,1.4592,1.2569,1.4669,1.1571,1.2414,1.4251,1.4552,1.2586,1.2118,1.3018,1.5715,1.4411,1.0885,1.4439,1.3299,0.9071,1.228,1.2332,1.3555,1.2959,1.2843,1.1903,1.0243,1.6432,1.2364,1.451,1.3077,1.2354,1.3202,1.0813,1.3192,1.4092,1.3975,1.3261,1.4491,1.2412,1.2803,1.2374,1.4885,1.1821,1.4201,1.1049,1.1681,1.1926,1.3996,1.3791,1.3123,1.2914,1.304,1.1995,1.2027,1.3323,1.3359,0.2618,1.2147,1.2472,0.7989,0,0.3455
810439,1.3533,0.833,1.2979,1.4974,1.1353,1.2921,1.3056,1.2069,1.1901,1.4677,1.229,1.4953,1.1532,1.2375,1.4,1.4327,1.2841,1.2041,1.3168,1.5326,1.4402,1.1215,1.4584,1.3277,0.9032,1.2365,1.234,1.3615,1.3181,1.29,1.1946,1.0521,1.6811,1.231,1.4386,1.3041,1.2364,1.3157,1.0533,1.327,1.4059,1.3833,1.336,1.4485,1.2609,1.2825,1.2377,1.4997,1.1625,1.4283,1.1018,1.1639,1.18,1.3479,1.3752,1.3029,1.2994,1.3118,1.2097,1.2104,1.3375,1.3486,0.2647,1.2265,1.1946,0.7795,0,0.3495
810843,1.3306,0.8105,1.3009,1.4943,1.188,1.2933,1.3,1.2154,1.2036,1.4667,1.2187,1.4735,1.1678,1.2345,1.3646,1.4701,1.2705,1.2059,1.294,1.5639,1.4305,1.0878,1.4599,1.3221,0.9065,1.2282,1.23,1.3672,1.3166,1.2747,1.1574,1.0701,1.6659,1.2397,1.4529,1.298,1.2392,1.2896,1.0743,1.3309,1.4127,1.3894,1.3228,1.4505,1.2385,1.2839,1.2482,1.4981,1.1708,1.3965,1.0941,1.1991,1.1998,1.3906,1.3841,1.3348,1.2987,1.3141,1.1765,1.2018,1.3281,1.3362,0.2609,1.2107,1.2311,0.7645,0,0.3298
812746,1.3411,0.8449,1.3122,1.52,1.1497,1.2972,1.3093,1.2241,1.218,1.4585,1.2096,1.4747,1.3095,1.2444,1.3743,1.4563,1.2665,1.2259,1.2956,1.5403,1.4412,1.0988,1.4487,1.3369,0.8985,1.225,1.2291,1.3589,1.3273,1.2796,1.1544,1.0179,1.6504,1.2258,1.4585,1.2972,1.2341,1.3278,1.0593,1.3287,1.4073,1.4092,1.3119,1.4509,1.2195,1.2795,1.2137,1.4717,1.1756,1.4107,1.1033,1.1888,1.1755,1.4178,1.3783,1.3008,1.2982,1.2965,1.2,1.1999,1.3334,1.3399,0.2683,1.2196,1.2587,0.7806,0,0.3916
814649,1.32,0.8189,1.3056,1.5085,1.1926,1.2969,1.3101,1.2163,1.203,1.4625,1.2416,1.4629,1.1888,1.2548,1.6088,1.4466,1.2645,1.2056,1.2983,1.5507,1.4501,1.1024,1.4607,1.3195,0.8971,1.2326,1.227,1.3617,1.3062,1.2808,1.1246,1.057,1.7436,1.2511,1.401,1.301,1.2336,1.3027,1.0555,1.3068,1.4053,1.3688,1.35,1.4584,1.2604,1.2759,1.2261,1.5724,1.1569,1.425,1.104,1.1593,1.1851,1.4084,1.3828,1.2893,1.2904,1.3042,1.2002,1.2076,1.3373,1.3354,0.2715,1.2118,1.2034,0.7306,0,0.3493
