Subjects,fs_l_bankssts_myel,fs_l_caudalanteriorcingulate_myel,fs_l_caudalmiddlefrontal_myel,fs_l_cuneus_myel,fs_l_entorhinal_myel,fs_l_fusiform_myel,fs_l_inferiorparietal_myel,fs_l_inferiortemporal_myel,fs_l_isthmuscingulate_myel,fs_l_lateraloccipital_myel,fs_l_lateralorbitofrontal_myel,fs_l_lingual_myel,fs_l_medialorbitofrontal_myel,fs_l_middletemporal_myel,fs_l_parahippocampal_myel,fs_l_paracentral_myel,fs_l_parsopercularis_myel,fs_l_parsorbitalis_myel,fs_l_parstriangularis_myel,fs_l_pericalcarine_myel,fs_l_postcentral_myel,fs_l_posteriorcingulate_myel,fs_l_precentral_myel,fs_l_precuneus_myel,fs_l_rostralanteriorcingulate_myel,fs_l_rostralmiddlefrontal_myel,fs_l_superiorfrontal_myel,fs_l_superiorparietal_myel,fs_l_superiortemporal_myel,fs_l_supramarginal_myel,fs_l_frontalpole_myel,fs_l_temporalpole_myel,fs_l_transversetemporal_myel,fs_l_insula_myel,fs_r_bankssts_myel,fs_r_caudalanteriorcingulate_myel,fs_r_caudalmiddlefrontal_myel,fs_r_cuneus_myel,fs_r_entorhinal_myel,fs_r_fusiform_myel,fs_r_inferiorparietal_myel,fs_r_inferiortemporal_myel,fs_r_isthmuscingulate_myel,fs_r_lateraloccipital_myel,fs_r_lateralorbitofrontal_myel,fs_r_lingual_myel,fs_r_medialorbitofrontal_myel,fs_r_middletemporal_myel,fs_r_parahippocampal_myel,fs_r_paracentral_myel,fs_r_parsopercularis_myel,fs_r_parsorbitalis_myel,fs_r_parstriangularis_myel,fs_r_pericalcarine_myel,fs_r_postcentral_myel,fs_r_posteriorcingulate_myel,fs_r_precentral_myel,fs_r_precuneus_myel,fs_r_rostralanteriorcingulate_myel,fs_r_rostralmiddlefrontal_myel,fs_r_superiorfrontal_myel,fs_r_superiorparietal_myel,fs_r_superiortemporal_myel,fs_r_supramarginal_myel,fs_r_frontalpole_myel,fs_r_temporalpole_myel,fs_r_transversetemporal_myel,fs_r_insula_myel
100206,1.33,0.8255,1.2816,1.5162,1.1178,1.292,1.3045,1.2094,1.1954,1.4613,1.2483,1.4754,1.1652,1.23,1.434,1.4251,1.2757,1.2099,1.2824,1.5575,1.424,1.0978,1.4454,1.3214,0.8954,1.2254,1.2356,1.3619,1.3035,1.2858,1.2059,1.1011,1.6775,1.2293,1.4115,1.2793,1.2303,1.3066,1.0749,1.326,1.4065,1.368,1.3057,1.45,1.2489,1.2737,1.2371,1.5055,1.1878,1.4065,1.1054,1.1939,1.2006,1.401,1.379,1.3015,1.2844,1.3025,1.2026,1.2053,1.3279,1.3371,0.2689,1.2112,1.21,0.8034,0,0.3184
100307,1.3288,0.8235,1.2931,1.5015,1.1479,1.2828,1.3021,1.2211,1.1911,1.4659,1.2457,1.4718,1.1634,1.2415,1.4962,1.4416,1.2722,1.1557,1.2847,1.5506,1.4327,1.0749,1.4561,1.3372,0.9179,1.2318,1.2342,1.3583,1.3056,1.282,1.1819,1.0725,1.6584,1.2539,1.478,1.2826,1.2252,1.3189,1.0788,1.315,1.4082,1.3773,1.3391,1.4608,1.2454,1.2743,1.242,1.5031,1.1681,1.4056,1.0987,1.1634,1.1899,1.396,1.3797,1.303,1.2866,1.3096,1.2163,1.209,1.3322,1.3374,0.2546,1.2154,1.2073,0.7521,0,0.3417
100408,1.3393,0.8155,1.2936,1.5246,1.1901,1.2901,1.3055,1.2003,1.2266,1.4699,1.2389,1.4836,1.1646,1.2353,1.372,1.4727,1.2722,1.2172,1.2949,1.5312,1.4208,1.1074,1.4586,1.3127,0.8893,1.2193,1.2354,1.3602,1.306,1.2782,1.164,1.0685,1.6182,1.2267,1.4523,1.2784,1.23,1.3114,1.0757,1.3139,1.4135,1.3825,1.3175,1.4565,1.1722,1.2903,1.2217,1.4768,1.1748,1.4217,1.0945,1.2176,1.1997,1.383,1.378,1.3005,1.2898,1.2875,1.156,1.206,1.3343,1.3372,0.2614,1.2099,1.2534,0.7588,0,0.4121
100610,1.2914,0.8093,1.2955,1.5476,1.2031,1.2937,1.301,1.2153,1.2084,1.4588,1.2419,1.4626,1.1801,1.2323,1.3665,1.4449,1.2843,1.1997,1.2966,1.5478,1.4478,1.0889,1.446,1.3199,0.8863,1.2319,1.2277,1.3594,1.313,1.2831,1.2117,1.0656,1.666,1.2201,1.462,1.3182,1.2445,1.2942,1.0798,1.3128,1.415,1.3884,1.3569,1.4435,1.2375,1.2671,1.2743,1.4669,1.1685,1.4128,1.0866,1.1954,1.2228,1.4024,1.3865,1.3017,1.2863,1.2981,1.1987,1.2213,1.3303,1.3346,0.2597,1.2093,1.191,0.7926,0,0.3348
101107,1.3192,0.8152,1.3041,1.5114,1.182,1.3011,1.3071,1.2075,1.1369,1.4602,1.2385,1.487,1.175,1.2515,1.3869,1.451,1.2639,1.2013,1.2822,1.5626,1.4375,1.0977,1.4505,1.3389,0.9082,1.2343,1.2347,1.3628,1.3103,1.2851,1.1318,1.0144,1.645,1.2164,1.4595,1.2925,1.2337,1.3251,1.0803,1.3252,1.4017,1.3904,1.3464,1.455,1.2401,1.2777,1.2119,1.4684,1.1796,1.4143,1.1012,1.1792,1.1868,1.3958,1.3814,1.2977,1.2871,1.3021,1.1906,1.2071,1.3335,1.3398,0.2439,1.2123,1.2364,0.8032,0,0.3325
101309,1.3177,0.823,1.3108,1.518,1.1662,1.2968,1.3172,1.2163,1.2112,1.4665,1.2408,1.4929,1.1912,1.2496,1.3275,1.4572,1.2774,1.2304,1.3034,1.5561,1.4335,1.1023,1.4637,1.3345,0.9018,1.2298,1.2334,1.3525,1.3096,1.2834,1.1467,1.0625,1.666,1.2347,1.4632,1.2808,1.237,1.3075,1.0877,1.3246,1.405,1.3987,1.3194,1.4521,1.2414,1.2932,1.2116,1.5026,1.1717,1.4072,1.1,1.1944,1.1768,1.3864,1.3756,1.2957,1.297,1.3025,1.21,1.2057,1.338,1.3444,0.2553,1.2193,1.1833,0.7721,0,0.3657
101410,1.3422,0.8085,1.305,1.5093,1.1615,1.2942,1.3119,1.2408,1.1652,1.4634,1.2504,1.4988,1.1818,1.2312,1.3622,1.4719,1.272,1.1968,1.2805,1.5706,1.4368,1.0827,1.4501,1.3316,0.8849,1.2385,1.2391,1.3631,1.3078,1.27,1.1225,1.0355,1.6719,1.2216,1.4764,1.3137,1.2271,1.3342,1.0844,1.3236,1.398,1.3791,1.3273,1.4443,1.2414,1.286,1.2219,1.5027,1.1648,1.4021,1.1031,1.2079,1.2039,1.3603,1.377,1.295,1.2936,1.2995,1.1943,1.2181,1.3367,1.3416,0.2545,1.2074,1.2321,0.8,0,0.3939
101915,1.3545,0.8262,1.2903,1.5179,1.174,1.3018,1.2943,1.2204,1.2122,1.4684,1.2404,1.462,1.1686,1.2335,1.389,1.4605,1.2686,1.2078,1.2781,1.5761,1.4476,1.1095,1.4634,1.3225,0.9195,1.2266,1.2286,1.3613,1.3078,1.2877,1.1582,1.0179,1.7034,1.2417,1.4639,1.2879,1.2283,1.2965,1.0864,1.3193,1.4105,1.397,1.3327,1.4475,1.2521,1.2805,1.2486,1.4879,1.1705,1.4099,1.1047,1.1585,1.1823,1.4026,1.3927,1.2931,1.2914,1.3028,1.1782,1.2016,1.3345,1.3345,0.2555,1.2131,1.2371,0.7466,0,0.3473
102008,1.3398,0.8036,1.3091,1.5198,1.2007,1.3022,1.3001,1.2147,1.172,1.4528,1.2364,1.4808,1.1747,1.2416,1.3432,1.4308,1.274,1.2242,1.2619,1.5547,1.4356,1.0999,1.4472,1.3304,0.8984,1.2259,1.2338,1.3629,1.3188,1.2788,1.1629,1.0371,1.6389,1.2321,1.4359,1.3013,1.2316,1.3051,1.0833,1.3215,1.4148,1.3911,1.3265,1.4582,1.2353,1.2917,1.2357,1.4849,1.1647,1.4136,1.1121,1.1871,1.1902,1.3603,1.3879,1.3123,1.2972,1.3064,1.1989,1.2043,1.3276,1.3311,0.2547,1.2172,1.2405,0.7578,0,0.3355
102311,1.3036,0.8472,1.2941,1.5464,1.2278,1.289,1.3111,1.2317,1.1893,1.4706,1.2264,1.4763,1.1878,1.2412,1.3177,1.4287,1.2735,1.2215,1.285,1.5378,1.447,1.1214,1.4484,1.3317,0.9006,1.2334,1.2304,1.3527,1.3149,1.2718,1.1452,1.1024,1.627,1.2441,1.4407,1.3033,1.2367,1.3067,1.0919,1.3267,1.4086,1.3836,1.317,1.4404,1.2612,1.2743,1.2196,1.4925,1.174,1.4152,1.1,1.1843,1.2015,1.3963,1.3719,1.3046,1.2864,1.3067,1.1944,1.2077,1.3298,1.3317,0.2642,1.2187,1.195,0.7376,0,0.341
102513,1.3309,0.8394,1.301,1.5053,1.1734,1.2904,1.3123,1.2297,1.186,1.4644,1.2376,1.4808,1.1654,1.2392,1.4181,1.448,1.2887,1.213,1.2767,1.5758,1.4335,1.1123,1.4535,1.3284,0.9103,1.2287,1.2302,1.3584,1.3131,1.2727,1.2106,1.0758,1.6497,1.2637,1.4445,1.2888,1.2312,1.2926,1.1115,1.3284,1.4057,1.3829,1.3223,1.4508,1.2426,1.277,1.2438,1.4974,1.1782,1.4185,1.0963,1.1778,1.1949,1.3994,1.3842,1.3072,1.2902,1.3057,1.2183,1.2065,1.3383,1.3384,0.2511,1.2204,1.1991,0.7589,0,0.35
102614,1.326,0.8148,1.3017,1.5164,1.1893,1.2947,1.306,1.2103,1.1761,1.4715,1.2365,1.4794,1.1598,1.2484,1.3603,1.465,1.2721,1.2032,1.2955,1.5811,1.45,1.0944,1.4463,1.312,0.8944,1.234,1.2337,1.3665,1.3007,1.2761,1.1509,1.0242,1.6902,1.2357,1.4885,1.2964,1.2327,1.3059,1.0659,1.3275,1.4125,1.375,1.3294,1.4549,1.2653,1.2622,1.2165,1.4922,1.1536,1.4037,1.1028,1.1747,1.2066,1.4344,1.3981,1.2918,1.2862,1.3161,1.1818,1.2049,1.336,1.3314,0.2587,1.2078,1.3052,0.8427,0,0.3301
102715,1.302,0.8231,1.3058,1.523,1.1091,1.2987,1.3065,1.23,1.1887,1.4619,1.2366,1.4783,1.1607,1.2464,1.4508,1.4511,1.2678,1.1918,1.306,1.5647,1.4387,1.0881,1.4532,1.3314,0.8982,1.236,1.2328,1.3679,1.3094,1.2865,1.1821,1.0841,1.6419,1.2365,1.4698,1.3037,1.2287,1.2969,1.0675,1.3294,1.4151,1.3786,1.3618,1.4505,1.2367,1.2673,1.2378,1.4813,1.1802,1.4163,1.0987,1.1954,1.1859,1.4275,1.3858,1.3055,1.2894,1.2994,1.1735,1.2049,1.3307,1.3395,0.2629,1.2086,1.2441,0.8394,0,0.339
102816,1.3424,0.8363,1.3001,1.5232,1.1744,1.2748,1.2893,1.2179,1.2122,1.483,1.2463,1.4797,1.1586,1.2422,1.4251,1.4698,1.2715,1.2037,1.2562,1.5517,1.4404,1.0964,1.4497,1.3275,0.9063,1.2277,1.2215,1.339,1.3092,1.2818,1.1759,1.0202,1.6369,1.2255,1.4761,1.3155,1.2274,1.2906,1.0694,1.3082,1.4027,1.3848,1.3223,1.4725,1.2463,1.2872,1.2082,1.4852,1.1806,1.4028,1.1085,1.1627,1.2023,1.3957,1.3819,1.3158,1.282,1.2857,1.2181,1.2033,1.3333,1.3269,0.2489,1.2111,1.2281,0.7258,0,0.328
103010,1.3125,0.8168,1.3006,1.5079,1.1491,1.2947,1.3091,1.2197,1.1877,1.459,1.2294,1.4872,1.1733,1.2453,1.3965,1.4286,1.2781,1.2074,1.2646,1.5977,1.4407,1.0973,1.4519,1.3257,0.8867,1.2296,1.2328,1.3597,1.3004,1.2854,1.152,1.1272,1.6634,1.2541,1.4594,1.2833,1.2258,1.2817,1.0908,1.3121,1.3992,1.3891,1.3407,1.4519,1.2435,1.2802,1.2423,1.4819,1.1763,1.4168,1.1006,1.1536,1.1863,1.4028,1.3754,1.3035,1.2899,1.304,1.1897,1.2037,1.3336,1.3402,0.2513,1.2169,1.2272,0.7388,0,0.3402
103111,1.3335,0.8063,1.2878,1.508,1.1632,1.2969,1.2998,1.2069,1.2022,1.4811,1.222,1.4488,1.2549,1.2332,1.4221,1.4412,1.2656,1.1983,1.2767,1.556,1.4314,1.0938,1.4625,1.3346,0.8763,1.2336,1.2365,1.3615,1.3154,1.2848,1.1674,1.0673,1.6394,1.228,1.4342,1.2901,1.2464,1.2902,1.117,1.3135,1.406,1.3921,1.3503,1.4583,1.2509,1.2864,1.2352,1.5035,1.1553,1.4142,1.1018,1.1828,1.17,1.4087,1.3832,1.3058,1.2815,1.2935,1.1777,1.2088,1.3324,1.3367,0.2604,1.21,1.2035,0.7331,0,0.3389
103212,1.3113,0.8176,1.2964,1.5239,1.1552,1.3014,1.3127,1.2192,1.2053,1.4536,1.2271,1.4835,1.2308,1.2356,1.394,1.4204,1.285,1.188,1.2958,1.5505,1.4477,1.1095,1.4442,1.3416,0.8986,1.2293,1.2359,1.3535,1.3165,1.2821,1.2905,1.1078,1.6972,1.2541,1.4516,1.3095,1.246,1.2918,1.0902,1.3252,1.4171,1.3957,1.3379,1.4461,1.2463,1.2754,1.2287,1.4762,1.1699,1.406,1.0964,1.1822,1.1828,1.4091,1.3788,1.2941,1.2917,1.306,1.2306,1.2117,1.3286,1.3424,0.2739,1.2148,1.158,0.6854,0,0.3614
103414,1.3487,0.8484,1.3064,1.507,1.1856,1.2973,1.3008,1.2154,1.2083,1.473,1.2375,1.4821,1.1712,1.2278,1.4036,1.454,1.264,1.2032,1.2881,1.5759,1.4497,1.0973,1.4468,1.3291,0.9288,1.231,1.2278,1.3696,1.3081,1.2847,1.1757,1.0265,1.6662,1.238,1.4816,1.313,1.2434,1.2938,1.075,1.334,1.407,1.3905,1.3234,1.4449,1.2287,1.2825,1.2308,1.5114,1.1524,1.4149,1.1055,1.1583,1.1725,1.4031,1.3848,1.2995,1.2928,1.3046,1.1858,1.2048,1.3338,1.3433,0.2633,1.2185,1.203,0.7526,0,0.3931
103515,1.3257,0.8153,1.2964,1.4875,1.189,1.2992,1.2979,1.2098,1.2129,1.481,1.2315,1.4787,1.1706,1.2412,1.4129,1.4359,1.2776,1.1949,1.2593,1.5613,1.4723,1.0972,1.4473,1.3278,0.8829,1.2325,1.2355,1.3548,1.2974,1.2742,1.1873,1.0387,1.6551,1.2691,1.4941,1.289,1.2237,1.3108,1.0613,1.3138,1.4013,1.4037,1.344,1.4461,1.2571,1.2716,1.2303,1.4997,1.1779,1.4051,1.1051,1.1919,1.1976,1.3868,1.3854,1.2983,1.29,1.3027,1.2051,1.2098,1.3325,1.3338,0.2508,1.2105,1.2004,0.7306,0,0.3262
103818,1.3551,0.8252,1.3034,1.5238,1.1913,1.3002,1.3053,1.2058,1.1889,1.4649,1.2438,1.4838,1.1596,1.2305,1.4312,1.4315,1.271,1.2007,1.3015,1.5589,1.4386,1.1086,1.4524,1.3274,0.9267,1.2325,1.2291,1.3592,1.3096,1.28,1.221,1.0272,1.6683,1.2499,1.4843,1.3013,1.2359,1.3438,1.0965,1.3267,1.4122,1.4031,1.3228,1.456,1.2197,1.2835,1.238,1.4661,1.1623,1.4078,1.1061,1.1778,1.1866,1.3922,1.382,1.2976,1.2883,1.2937,1.1846,1.2039,1.3323,1.3292,0.255,1.2111,1.258,0.771,0,0.4129
104012,1.3524,0.8137,1.2971,1.5243,1.1986,1.298,1.3051,1.2155,1.171,1.4656,1.231,1.4782,1.1749,1.2303,1.3848,1.4342,1.2698,1.2129,1.2975,1.5612,1.4343,1.1012,1.4505,1.325,0.9209,1.2304,1.23,1.3596,1.3099,1.2803,1.1637,1.0478,1.6639,1.2271,1.4453,1.3111,1.2475,1.3058,1.0688,1.3238,1.4069,1.3893,1.3221,1.4507,1.2443,1.2782,1.22,1.4873,1.1708,1.4161,1.0997,1.1914,1.189,1.3962,1.3859,1.3099,1.2825,1.301,1.2106,1.2041,1.3255,1.327,0.2612,1.2064,1.2826,0.7518,0,0.3289
104416,1.3248,0.8217,1.3038,1.5304,1.1777,1.2865,1.3051,1.2238,1.1911,1.4631,1.2454,1.4996,1.1665,1.2345,1.3553,1.4626,1.2798,1.2042,1.293,1.5384,1.4359,1.0912,1.4543,1.3205,0.8991,1.2273,1.2287,1.3613,1.3071,1.2775,1.1369,1.0494,1.664,1.2173,1.4768,1.3026,1.2316,1.3274,1.0659,1.3266,1.4095,1.3893,1.306,1.4505,1.2549,1.2837,1.2467,1.4723,1.1808,1.4245,1.0977,1.2283,1.1747,1.3573,1.3833,1.2978,1.2892,1.3041,1.1996,1.1998,1.3327,1.3329,0.2547,1.2033,1.2165,0.7586,0,0.344
104820,1.3617,0.8038,1.3003,1.5489,1.1238,1.2984,1.3081,1.2199,1.1697,1.4641,1.2314,1.4772,1.1652,1.2335,1.3369,1.4641,1.2646,1.2325,1.3104,1.6093,1.4262,1.0824,1.4759,1.3226,0.9025,1.2337,1.2353,1.3519,1.312,1.276,1.1751,1.1841,1.7745,1.1873,1.4885,1.2783,1.2185,1.3089,1.0782,1.3129,1.4048,1.3926,1.3113,1.4504,1.2419,1.2892,1.2239,1.4671,1.182,1.3978,1.1086,1.1892,1.201,1.4304,1.3754,1.3298,1.3056,1.2846,1.1981,1.2096,1.3287,1.3341,0.2435,1.212,1.2449,0.9092,0,0.3333
105014,1.359,0.824,1.3101,1.5098,1.1744,1.2997,1.3064,1.2141,1.2178,1.4652,1.232,1.4788,1.169,1.2405,1.4078,1.4341,1.2818,1.2035,1.2781,1.5506,1.4459,1.1178,1.4508,1.3323,0.9028,1.2308,1.2315,1.3647,1.2998,1.2878,1.191,1.0639,1.6746,1.2429,1.479,1.3055,1.2404,1.3113,1.059,1.3333,1.4084,1.4075,1.3389,1.4483,1.2345,1.283,1.224,1.4922,1.1761,1.4105,1.1088,1.18,1.1813,1.3908,1.3741,1.3037,1.2876,1.3102,1.2052,1.2099,1.3316,1.3334,0.2653,1.2196,1.2114,0.7822,0,0.3581
105115,1.3347,0.8215,1.3036,1.5238,1.1728,1.2897,1.3093,1.2268,1.1948,1.4645,1.2305,1.4852,1.1707,1.2471,1.4087,1.4333,1.269,1.1963,1.2744,1.5402,1.4393,1.1196,1.4453,1.3411,0.9047,1.2369,1.2329,1.3579,1.3065,1.2867,1.1658,1.0684,1.6506,1.2439,1.4355,1.2935,1.2406,1.3407,1.0808,1.3299,1.4096,1.3805,1.3211,1.4472,1.2496,1.2885,1.235,1.5097,1.1834,1.4163,1.108,1.1854,1.1963,1.3701,1.369,1.3109,1.2879,1.3044,1.2051,1.208,1.3309,1.3411,0.2609,1.221,1.2251,0.7617,0,0.3306
105216,1.3386,0.8089,1.2928,1.5214,1.1738,1.3011,1.3116,1.2202,1.181,1.4691,1.2316,1.4745,1.1668,1.237,1.3515,1.4457,1.2699,1.2202,1.2898,1.5622,1.4409,1.1022,1.453,1.3319,0.9001,1.2268,1.2315,1.3571,1.3019,1.2878,1.2127,1.0943,1.6729,1.2213,1.4768,1.2963,1.2316,1.3176,1.0821,1.317,1.413,1.4014,1.336,1.4541,1.2487,1.2791,1.2335,1.4596,1.1709,1.4175,1.1023,1.1787,1.1938,1.4068,1.3808,1.3066,1.2906,1.305,1.1817,1.2032,1.3347,1.3229,0.2571,1.2095,1.2366,0.7716,0,0.3403
105620,1.3435,0.8307,1.3079,1.5299,1.2023,1.2903,1.2996,1.2218,1.1634,1.4568,1.2457,1.4791,1.173,1.2381,1.4177,1.4332,1.2652,1.1871,1.286,1.589,1.4238,1.0846,1.4659,1.3327,0.9091,1.2338,1.2345,1.3621,1.3094,1.2864,1.1516,1.0284,1.6899,1.2346,1.435,1.2794,1.2272,1.3023,1.0935,1.3105,1.4093,1.3949,1.3145,1.4544,1.252,1.288,1.227,1.4753,1.1626,1.4247,1.1068,1.1928,1.1947,1.3644,1.3817,1.2904,1.2929,1.3114,1.1925,1.2094,1.3322,1.336,0.264,1.2072,1.24,0.7643,0,0.3385
105923,1.3397,0.8074,1.3047,1.5047,1.1838,1.3036,1.3028,1.2201,1.1838,1.4561,1.2452,1.4779,1.1698,1.2336,1.3491,1.4363,1.2805,1.1943,1.2797,1.5505,1.4469,1.1053,1.4469,1.3365,0.9046,1.2339,1.2321,1.3672,1.3116,1.2857,1.1921,1.0592,1.6771,1.2373,1.4412,1.303,1.2432,1.3122,1.0715,1.3285,1.4171,1.3753,1.3342,1.4533,1.2671,1.2702,1.2238,1.4858,1.1637,1.4184,1.1059,1.1781,1.1892,1.3999,1.3778,1.3223,1.293,1.3088,1.1901,1.2069,1.3313,1.3385,0.2585,1.2187,1.1766,0.7912,0,0.3395
106016,1.3272,0.8357,1.3019,1.5198,1.1691,1.2974,1.3053,1.2089,1.1804,1.4546,1.2309,1.4859,1.1732,1.2457,1.3164,1.4284,1.261,1.2074,1.2857,1.5535,1.4408,1.1053,1.4559,1.3375,0.9003,1.2256,1.2358,1.3599,1.3037,1.2877,1.1666,1.0711,1.6575,1.2441,1.4653,1.3137,1.2303,1.2955,1.0682,1.3302,1.4087,1.3959,1.3167,1.4518,1.2431,1.2728,1.2366,1.4848,1.1817,1.409,1.1059,1.2073,1.1692,1.4061,1.3761,1.3063,1.2893,1.3013,1.2011,1.2065,1.3396,1.3356,0.2563,1.2118,1.2264,0.7385,0,0.3358
106319,1.333,0.8196,1.2903,1.5257,1.1758,1.2906,1.3034,1.1994,1.2049,1.464,1.2332,1.4929,1.1582,1.2451,1.4008,1.461,1.2738,1.2479,1.283,1.5389,1.4433,1.0794,1.4489,1.3245,0.8923,1.2277,1.2311,1.3604,1.3066,1.2815,1.1825,1.0314,1.6662,1.2136,1.4603,1.3079,1.2271,1.3189,1.0695,1.3213,1.4014,1.3902,1.3428,1.4545,1.2372,1.2612,1.225,1.4904,1.1743,1.4098,1.1011,1.1495,1.2065,1.4091,1.3882,1.3239,1.2872,1.2929,1.1796,1.204,1.3303,1.3277,0.2633,1.2058,1.2414,0.7463,0,0.3471
106521,1.3566,0.831,1.3037,1.5045,1.1349,1.2958,1.3001,1.2179,1.1855,1.4653,1.2308,1.491,1.1731,1.225,1.3896,1.4383,1.2654,1.2094,1.2761,1.57,1.4393,1.1078,1.4587,1.327,0.8992,1.2271,1.2291,1.3596,1.301,1.2825,1.2534,1.1719,1.6631,1.2433,1.4696,1.3017,1.2375,1.302,1.0776,1.3137,1.409,1.3879,1.3145,1.4486,1.2571,1.2772,1.2204,1.4707,1.1724,1.4056,1.0973,1.168,1.1926,1.395,1.3789,1.3075,1.2865,1.3115,1.2284,1.1995,1.3362,1.3364,0.2528,1.2129,1.2584,0.7457,0,0.3328
106824,1.3447,0.8274,1.299,1.5077,1.095,1.2928,1.307,1.211,1.1713,1.462,1.2327,1.4609,1.2057,1.2466,1.5537,1.4398,1.2709,1.2117,1.2807,1.5442,1.4378,1.1054,1.4473,1.3402,0.9214,1.2355,1.2338,1.3613,1.31,1.2909,1.1995,1.0592,1.6221,1.2477,1.4357,1.281,1.2426,1.2905,1.0939,1.3199,1.4077,1.3948,1.3259,1.4534,1.25,1.2804,1.2113,1.5016,1.1618,1.4135,1.1016,1.1766,1.1747,1.4115,1.3831,1.3166,1.2866,1.304,1.2162,1.2095,1.3328,1.3306,0.2627,1.2269,1.2543,0.7521,0,0.3571
107018,1.3397,0.8279,1.3083,1.533,1.1523,1.3001,1.31,1.2065,1.1891,1.459,1.2332,1.4903,1.1624,1.2332,1.4008,1.4526,1.2627,1.2072,1.2728,1.5455,1.4446,1.1099,1.4473,1.3281,0.9251,1.2321,1.2302,1.3538,1.3084,1.2839,1.1932,1.0386,1.6419,1.2529,1.4292,1.3081,1.2331,1.3288,1.0788,1.3156,1.4061,1.3636,1.3282,1.4456,1.2421,1.2656,1.2277,1.5532,1.1793,1.4015,1.1051,1.1788,1.1909,1.3891,1.3773,1.3155,1.2926,1.3039,1.1857,1.2069,1.3298,1.3387,0.2543,1.22,1.2733,0.749,0,0.3297
107321,1.343,0.819,1.3089,1.5085,1.2118,1.3005,1.296,1.209,1.1791,1.4679,1.2321,1.4786,1.1807,1.237,1.3418,1.4563,1.2606,1.2058,1.2995,1.575,1.4383,1.1002,1.4568,1.3311,0.8935,1.219,1.2347,1.3604,1.3163,1.2838,1.2086,1.0486,1.6599,1.2376,1.5002,1.2946,1.2328,1.2936,1.0702,1.3254,1.4038,1.3812,1.3115,1.4596,1.2446,1.2709,1.2449,1.4874,1.1649,1.4104,1.1075,1.1998,1.1937,1.4088,1.3813,1.3074,1.2879,1.3015,1.1929,1.2137,1.3347,1.3325,0.2459,1.2072,1.2103,0.7542,0,0.3233
107422,1.3586,0.8273,1.2992,1.5194,1.1619,1.3046,1.3079,1.2143,1.1806,1.4619,1.2462,1.4928,1.1661,1.2358,1.3404,1.4577,1.2762,1.2079,1.2842,1.5467,1.4394,1.1074,1.453,1.337,0.9074,1.2239,1.2333,1.3573,1.3063,1.277,1.1796,1.0469,1.6958,1.2411,1.4565,1.2892,1.2296,1.3139,1.0752,1.3273,1.4104,1.3807,1.3213,1.4594,1.2091,1.2718,1.2307,1.4882,1.183,1.4185,1.0971,1.166,1.1963,1.4339,1.3748,1.3056,1.2928,1.296,1.1937,1.204,1.3352,1.3396,0.2505,1.2266,1.2211,0.7767,0,0.4624
107725,1.3182,0.8173,1.3039,1.5387,1.2363,1.2891,1.2969,1.2078,1.1911,1.4626,1.2343,1.5117,1.172,1.2375,1.3022,1.4755,1.2769,1.2101,1.2934,1.551,1.4451,1.0637,1.4578,1.3187,0.8783,1.228,1.2394,1.3527,1.3087,1.2778,1.1898,1.0357,1.7527,1.2262,1.5038,1.3104,1.2235,1.2862,1.0352,1.3213,1.3984,1.3823,1.3171,1.4641,1.2575,1.2824,1.2221,1.5242,1.1785,1.4151,1.0947,1.1519,1.2098,1.4003,1.3847,1.2976,1.2925,1.2987,1.1725,1.2016,1.3445,1.3333,0.2669,1.2065,1.1805,0.7912,0,0.3358
108020,1.3181,0.8224,1.3101,1.5275,1.1541,1.2973,1.31,1.2161,1.1771,1.4568,1.2407,1.4891,1.231,1.234,1.365,1.4498,1.2787,1.2028,1.2887,1.5601,1.4342,1.093,1.4606,1.3253,1.1603,1.2342,1.2371,1.3631,1.3041,1.2847,1.1673,1.0933,1.6534,1.236,1.4207,1.2982,1.2488,1.3288,1.0582,1.3036,1.4099,1.3812,1.3484,1.447,1.238,1.2777,1.242,1.5262,1.1639,1.4148,1.1065,1.1654,1.1881,1.4054,1.3766,1.2908,1.3061,1.2999,1.2112,1.2082,1.3375,1.345,0.2561,1.2286,1.2137,0.8147,0,0.3535
108121,1.3334,0.8372,1.2902,1.5392,1.1749,1.2929,1.3102,1.2039,1.1651,1.4614,1.2263,1.5203,1.1701,1.2377,1.3723,1.4364,1.2929,1.2565,1.2585,1.5602,1.448,1.1095,1.4637,1.3294,0.9038,1.2278,1.231,1.3559,1.3062,1.2841,1.2212,1.024,1.6853,1.2455,1.4982,1.3167,1.2203,1.3388,1.1009,1.3282,1.4027,1.3964,1.3139,1.45,1.2551,1.2694,1.2556,1.4876,1.1617,1.4066,1.1018,1.1606,1.1876,1.3882,1.3764,1.312,1.2905,1.3012,1.2291,1.2042,1.336,1.3314,0.2553,1.2171,1.1934,0.7453,0,0.3337
